time,F1,Pa,Pr,Td,Tg,Tst,Tcnd1,Tcnd2,Tgpz_a,Tgpz_b,Tgpz_v,Tgpz_g,Tturb_a,Tturb_b,Tturb_v,Tturb_g,Fr,seg,dPa,transient,resid_prism
2015-03-07 17:00:00,19.319201,284.758179,56.500519,36.083111,31.637136,50.207954,15.186,20.947,539.648,541.113,541.406,541.626,544.995,548.291,547.412,538.696,49.998039,2,0.14141899999998486,False,
2015-03-07 18:00:00,19.32596,285.132904,63.584492,36.230469,31.729998,50.414165,15.137,20.972,542.285,542.139,543.384,542.358,544.922,548.291,547.925,539.209,49.99226,2,0.3747250000000122,False,
2015-03-07 19:00:00,19.322956,284.980743,64.681793,36.337715,31.809343,50.566753,15.112,20.972,538.696,540.088,539.648,540.747,545.288,548.291,547.998,539.575,49.995167,2,-0.15216099999997823,False,
2015-03-07 20:00:00,19.323708,284.709503,59.0186,36.203003,31.739153,50.459942,15.063,20.898,541.406,542.725,542.725,544.409,546.387,550.195,549.463,540.527,49.997929,2,-0.27124000000003434,False,
2015-03-07 21:00:00,19.322956,284.936218,51.795086,36.065674,31.648472,50.299946,15.063,20.898,540.967,541.772,541.699,543.604,548.071,551.074,550.562,541.772,49.993896,2,0.22671500000001288,False,
2015-03-07 22:00:00,19.312441,239.064255,41.381161,36.061096,30.789185,48.744419,15.063,20.898,542.432,541.992,543.237,543.091,546.313,549.829,549.243,540.308,49.998657,2,-45.871962999999994,True,
2015-03-07 23:00:00,19.32671,137.475677,32.654408,37.528118,29.414585,44.30978,7.471,12.036,542.871,543.384,545.142,544.409,538.989,544.043,543.457,537.451,50.000546,2,-101.58857800000001,True,
2015-03-08 00:00:00,19.322454,136.616837,34.763165,37.536663,29.947151,44.483116,7.153,11.377,543.457,544.922,543.896,544.482,540.454,545.947,545.728,542.065,49.998543,2,-0.8588399999999865,False,
2015-03-08 01:00:00,19.318199,135.757996,36.871925,37.545208,30.479717,44.656452,7.153,11.45,543.677,543.604,543.164,543.53,540.527,545.947,546.313,542.285,49.996544,2,-0.8588410000000124,False,
2015-03-08 02:00:00,19.313944,134.899155,38.980682,37.553753,31.012283,44.829788,7.153,11.426,543.237,544.409,542.944,544.189,541.333,546.24,546.826,542.944,49.994541,2,-0.858840999999984,False,
2015-03-08 03:00:00,19.295919,134.930786,42.453087,37.794712,31.142752,45.065308,7.202,11.377,543.75,544.189,544.189,544.849,545.508,550.415,550.708,547.046,49.993168,2,0.031631000000004406,False,
2015-03-08 04:00:00,19.294668,148.901794,43.657761,37.333534,31.257774,45.379856,7.202,11.377,540.82,542.139,542.432,543.384,546.094,550.854,551.294,547.632,49.994568,2,13.971007999999983,False,
2015-03-08 05:00:00,19.293415,162.872818,44.862434,36.872356,31.372797,45.694405,7.202,11.377,541.04,543.677,542.065,542.651,546.68,551.221,551.514,547.925,49.995968,2,13.971024,False,
2015-03-08 06:00:00,19.292164,176.843842,46.067108,36.411179,31.487818,46.008953,7.153,11.377,543.97,544.702,544.995,545.801,546.313,551.44,551.514,547.852,49.997368,2,13.971024,False,
